Time Index,Year,Month,Counts
1,1922,1,1589
2,1922,2,1257
3,1922,3,955
4,1922,4,772
5,1922,5,705
6,1922,6,487
7,1922,7,393
8,1922,8,591
9,1922,9,581
10,1922,10,854
11,1922,11,561
12,1922,12,1277
13,1923,1,1880
14,1923,2,1231
15,1923,3,921
16,1923,4,636
17,1923,5,695
18,1923,6,596
19,1923,7,618
20,1923,8,576
21,1923,9,539
22,1923,10,1083
23,1923,11,882
24,1923,12,1961
25,1924,1,1359
26,1924,2,1315
27,1924,3,957
28,1924,4,891
29,1924,5,594
30,1924,6,492
31,1924,7,478
32,1924,8,473
33,1924,9,687
34,1924,10,949
35,1924,11,1130
36,1924,12,2000
37,1925,1,1190
38,1925,2,1342
39,1925,3,1086
40,1925,4,844
41,1925,5,620
42,1925,6,596
43,1925,7,497
44,1925,8,796
45,1925,9,761
46,1925,10,1059
47,1925,11,1225
48,1925,12,2030
49,1926,1,1903
50,1926,2,1549
51,1926,3,1502
52,1926,4,855
53,1926,5,689
54,1926,6,622
55,1926,7,508
56,1926,8,936
57,1926,9,786
58,1926,10,851
59,1926,11,1280
60,1926,12,1891
61,1927,1,2026
62,1927,2,1679
63,1927,3,1316
64,1927,4,763
65,1927,5,656
66,1927,6,476
67,1927,7,483
68,1927,8,658
69,1927,9,628
70,1927,10,1044
71,1927,11,1223
72,1927,12,1895
73,1928,1,2104
74,1928,2,1479
75,1928,3,1028
76,1928,4,650
77,1928,5,760
78,1928,6,489
79,1928,7,733
80,1928,8,889
81,1928,9,793
82,1928,10,1099
83,1928,11,1119
84,1928,12,2445
85,1929,1,1820
86,1929,2,1509
87,1929,3,993
88,1929,4,787
89,1929,5,621
90,1929,6,680
91,1929,7,609
92,1929,8,437
93,1929,9,817
94,1929,10,914
95,1929,11,1304
96,1929,12,2479
97,1930,1,1531
98,1930,2,1588
99,1930,3,909
100,1930,4,835
101,1930,5,650
102,1930,6,582
103,1930,7,526
104,1930,8,503
105,1930,9,585
106,1930,10,837
107,1930,11,1074
108,1930,12,1583
109,1931,1,1286
110,1931,2,954
111,1931,3,734
112,1931,4,412
113,1931,5,366
114,1931,6,412
115,1931,7,280
116,1931,8,346
117,1931,9,427
118,1931,10,364
119,1931,11,979
120,1931,12,1055
121,1932,1,989
122,1932,2,796
123,1932,3,536
124,1932,4,476
125,1932,5,422
126,1932,6,300
127,1932,7,344
128,1932,8,317
129,1932,9,322
130,1932,10,711
131,1932,11,694
132,1932,12,1376
133,1933,1,1318
134,1933,2,976
135,1933,3,774
136,1933,4,566
137,1933,5,565
138,1933,6,307
139,1933,7,434
140,1933,8,415
141,1933,9,437
142,1933,10,695
143,1933,11,804
144,1933,12,1664
145,1934,1,1709
146,1934,2,1244
147,1934,3,959
148,1934,4,786
149,1934,5,491
150,1934,6,308
151,1934,7,409
152,1934,8,505
153,1934,9,706
154,1934,10,748
155,1934,11,1188
156,1934,12,1827
157,1935,1,1694
158,1935,2,1425
159,1935,3,1086
160,1935,4,818
161,1935,5,533
162,1935,6,442
163,1935,7,537
164,1935,8,442
165,1935,9,744
166,1935,10,879
167,1935,11,1304
168,1935,12,1933
169,1936,1,1763
170,1936,2,2067
171,1936,3,1344
172,1936,4,778
173,1936,5,657
174,1936,6,494
175,1936,7,624
176,1936,8,686
177,1936,9,900
178,1936,10,1116
179,1936,11,1502
180,1936,12,2459
181,1937,1,2144
182,1937,2,1796
183,1937,3,1630
184,1937,4,1090
185,1937,5,796
186,1937,6,500
187,1937,7,795
188,1937,8,817
189,1937,9,837
190,1937,10,1078
191,1937,11,1787
192,1937,12,2761
193,1938,1,2160
194,1938,2,2246
195,1938,3,1780
196,1938,4,1111
197,1938,5,878
198,1938,6,615
199,1938,7,803
200,1938,8,721
201,1938,9,841
202,1938,10,1265
203,1938,11,1659
204,1938,12,2345
205,1939,1,2749
206,1939,2,2078
207,1939,3,1758
208,1939,4,1310
209,1939,5,892
210,1939,6,684
211,1939,7,616
212,1939,8,808
213,1939,9,799
214,1939,10,762
215,1939,11,686
216,1939,12,1009
217,1940,1,877
218,1940,2,859
219,1940,3,638
220,1940,4,669
221,1940,5,431
222,1940,6,367
223,1940,7,474
224,1940,8,387
225,1940,9,726
226,1940,10,695
227,1940,11,649
228,1940,12,620
229,1941,1,769
230,1941,2,411
231,1941,3,399
232,1941,4,382
233,1941,5,405
234,1941,6,226
235,1941,7,281
236,1941,8,231
237,1941,9,236
238,1941,10,442
239,1941,11,325
240,1941,12,355
241,1942,1,117
242,1942,2,108
243,1942,3,214
244,1942,4,40
245,1942,5,134
246,1942,6,88
247,1942,7,98
248,1942,8,70
249,1942,9,96
250,1942,10,79
251,1942,11,131
252,1942,12,159
253,1943,1,112
254,1943,2,204
255,1943,3,174
256,1943,4,128
257,1943,5,119
258,1943,6,104
259,1943,7,87
260,1943,8,74
261,1943,9,92
262,1943,10,140
263,1943,11,192
264,1943,12,250
265,1944,1,179
266,1944,2,162
267,1944,3,301
268,1944,4,188
269,1944,5,152
270,1944,6,192
271,1944,7,181
272,1944,8,132
273,1944,9,249
274,1944,10,1085
275,1944,11,240
276,1944,12,392
277,1945,1,217
278,1945,2,321
279,1945,3,291
280,1945,4,324
281,1945,5,194
282,1945,6,196
283,1945,7,233
284,1945,8,181
285,1945,9,413
286,1945,10,533
287,1945,11,448
288,1945,12,299
289,1946,1,688
290,1946,2,1314
291,1946,3,437
292,1946,4,916
293,1946,5,484
294,1946,6,317
295,1946,7,318
296,1946,8,799
297,1946,9,528
298,1946,10,755
299,1946,11,767
300,1946,12,1349
301,1947,1,1124
302,1947,2,885
303,1947,3,951
304,1947,4,736
305,1947,5,719
306,1947,6,662
307,1947,7,601
308,1947,8,490
309,1947,9,777
310,1947,10,863
311,1947,11,1158
312,1947,12,1564
313,1948,1,1446
314,1948,2,1491
315,1948,3,970
316,1948,4,858
317,1948,5,708
318,1948,6,446
319,1948,7,566
320,1948,8,682
321,1948,9,476
322,1948,10,762
323,1948,11,944
324,1948,12,1603
325,1949,1,1634
326,1949,2,1719
327,1949,3,1321
328,1949,4,920
329,1949,5,761
330,1949,6,642
331,1949,7,567
332,1949,8,785
333,1949,9,811
334,1949,10,1208
335,1949,11,1435
336,1949,12,1756
337,1950,1,2434
338,1950,2,1993
339,1950,3,1404
340,1950,4,1050
341,1950,5,1040
342,1950,6,695
343,1950,7,829
344,1950,8,738
345,1950,9,879
346,1950,10,1595
347,1950,11,1620
348,1950,12,2239
349,1951,1,2058
350,1951,2,2185
351,1951,3,1506
352,1951,4,1045
353,1951,5,722
354,1951,6,612
355,1951,7,725
356,1951,8,1019
357,1951,9,945
358,1951,10,1677
359,1951,11,1561
360,1951,12,2418
361,1952,1,2232
362,1952,2,2450
363,1952,3,1744
364,1952,4,1355
365,1952,5,1027
366,1952,6,1016
367,1952,7,814
368,1952,8,898
369,1952,9,1292
370,1952,10,1575
371,1952,11,1662
372,1952,12,2550
373,1953,1,2204
374,1953,2,2558
375,1953,3,1714
376,1953,4,1342
377,1953,5,1108
378,1953,6,883
379,1953,7,929
380,1953,8,992
381,1953,9,1144
382,1953,10,1491
383,1953,11,1891
384,1953,12,2463
385,1954,1,2500
386,1954,2,2631
387,1954,3,2132
388,1954,4,1451
389,1954,5,1255
390,1954,6,863
391,1954,7,956
392,1954,8,1011
393,1954,9,1203
394,1954,10,1844
395,1954,11,1871
396,1954,12,3194
397,1955,1,3368
398,1955,2,2540
399,1955,3,2390
400,1955,4,1504
401,1955,5,1467
402,1955,6,911
403,1955,7,1023
404,1955,8,1171
405,1955,9,1596
406,1955,10,2024
407,1955,11,2228
408,1955,12,3336
409,1956,1,3183
410,1956,2,2659
411,1956,3,2577
412,1956,4,2171
413,1956,5,1398
414,1956,6,1061
415,1956,7,1150
416,1956,8,1332
417,1956,9,1761
418,1956,10,2441
419,1956,11,3903
420,1956,12,3277
421,1957,1,3368
422,1957,2,3162
423,1957,3,2955
424,1957,4,2062
425,1957,5,1330
426,1957,6,1271
427,1957,7,1373
